Current measurements:
dvdd vdd vprech
0.0 0.00019 9.5e-05 0.0
1.0 0.00019 9.5e-05 0.0
2.0 0.00019 9.5e-05 0.0
3.0 0.00019 9.5e-05 0.0
4.0 0.00019 9.5e-05 0.0
5.0 0.00019 9.5e-05 0.0
6.0 0.00019 9.5e-05 0.0
7.0 0.00019 9.5e-05 0.0
8.0 0.00019 9.5e-05 0.0
9.0 0.00019 9.5e-05 0.0
10.0 0.00019 9.5e-05 0.0
11.0 0.00019 9.5e-05 0.0
12.0 0.00019 9.5e-05 0.0
13.0 0.00019 9.5e-05 0.0
14.0 0.00019 9.5e-05 0.0
15.0 0.00019 9.5e-05 0.0
16.0 0.00019 9.5e-05 0.0
17.0 0.00019 9.5e-05 0.0
18.0 0.00019 9.5e-05 0.0
19.0 0.00019 9.5e-05 0.0
20.0 0.00019 9.5e-05 0.0
21.0 0.00019 9.5e-05 0.0
22.0 0.00019 9.5e-05 0.0
23.0 0.00019 9.5e-05 9.5e-05
24.0 0.00019 9.5e-05 9.5e-05
25.0 0.00019 9.5e-05 9.5e-05
26.0 0.00019 9.5e-05 9.5e-05
27.0 0.00019 9.5e-05 9.5e-05
28.0 0.00019 9.5e-05 9.5e-05
29.0 0.00019 9.5e-05 9.5e-05
30.0 0.00019 9.5e-05 9.5e-05
31.0 0.00019 9.5e-05 9.5e-05
32.0 0.00019 9.5e-05 9.5e-05
33.0 0.00019 9.5e-05 9.5e-05
34.0 0.00019 9.5e-05 9.5e-05
35.0 0.00019 9.5e-05 9.5e-05
36.0 0.00019 9.5e-05 9.5e-05
37.0 0.00019 9.5e-05 9.5e-05
38.0 0.00019 9.5e-05 9.5e-05
39.0 0.00019 9.5e-05 9.5e-05
40.0 0.00019 9.5e-05 9.5e-05
41.0 0.00019 9.5e-05 9.5e-05
42.0 0.00019 9.5e-05 9.5e-05
43.0 0.00019 9.5e-05 9.5e-05
44.0 0.00019 9.5e-05 9.5e-05
45.0 0.00019 9.5e-05 9.5e-05
46.0 0.00019 9.5e-05 9.5e-05
47.0 0.00019 9.5e-05 9.5e-05
48.0 0.00019 9.5e-05 9.5e-05
49.0 0.00019 9.5e-05 9.5e-05
50.0 0.00019 9.5e-05 9.5e-05
51.0 0.00019 9.5e-05 9.5e-05
52.0 0.00019 9.5e-05 9.5e-05
53.0 0.00019 9.5e-05 9.5e-05
54.0 0.00019 9.5e-05 9.5e-05
55.0 0.00019 9.5e-05 9.5e-05
56.0 0.00019 9.5e-05 9.5e-05
57.0 0.00019 9.5e-05 9.5e-05
58.0 0.00019 9.5e-05 9.5e-05
59.0 0.00019 9.5e-05 9.5e-05
60.0 0.00019 9.5e-05 9.5e-05
61.0 0.00019 9.5e-05 9.5e-05
62.0 0.00019 9.5e-05 9.5e-05
63.0 0.00019 9.5e-05 9.5e-05
64.0 0.00019 9.5e-05 9.5e-05
65.0 0.00019 9.5e-05 9.5e-05
66.0 0.00019 9.5e-05 9.5e-05
67.0 0.00019 9.5e-05 9.5e-05
68.0 0.00019 9.5e-05 9.5e-05
69.0 0.00019 9.5e-05 9.5e-05
70.0 0.00019 9.5e-05 9.5e-05
71.0 0.00019 9.5e-05 9.5e-05
72.0 0.00019 9.5e-05 9.5e-05
73.0 0.00019 9.5e-05 9.5e-05
74.0 0.00019 9.5e-05 9.5e-05
75.0 0.00019 9.5e-05 9.5e-05
76.0 0.00019 9.5e-05 9.5e-05
77.0 0.00019 9.5e-05 9.5e-05
78.0 0.00019 9.5e-05 9.5e-05
79.0 0.00019 9.5e-05 9.5e-05
80.0 0.00019 9.5e-05 9.5e-05
81.0 0.00019 9.5e-05 9.5e-05
82.0 0.00019 9.5e-05 9.5e-05
83.0 0.00019 9.5e-05 9.5e-05
84.0 0.00019 9.5e-05 9.5e-05
85.0 0.00019 9.5e-05 9.5e-05
86.0 0.00019 9.5e-05 9.5e-05
87.0 0.00019 9.5e-05 9.5e-05
88.0 0.00019 9.5e-05 9.5e-05
89.0 0.00019 9.5e-05 9.5e-05
90.0 0.00019 9.5e-05 9.5e-05
91.0 0.00019 9.5e-05 9.5e-05
92.0 0.00019 9.5e-05 9.5e-05
93.0 0.00019 9.5e-05 9.5e-05
94.0 0.00019 9.5e-05 9.5e-05
95.0 0.00019 9.5e-05 9.5e-05
96.0 0.00019 9.5e-05 9.5e-05
97.0 0.00019 9.5e-05 9.5e-05
98.0 0.00019 9.5e-05 9.5e-05
99.0 0.00019 9.5e-05 9.5e-05
100.0 0.00019 9.5e-05 9.5e-05
101.0 0.00019 9.5e-05 9.5e-05
102.0 0.00019 9.5e-05 9.5e-05
103.0 0.00019 9.5e-05 9.5e-05
104.0 0.00019 9.5e-05 9.5e-05
105.0 0.00019 9.5e-05 9.5e-05
106.0 0.00019 9.5e-05 9.5e-05
107.0 0.00019 9.5e-05 9.5e-05
