Current measurements:
dvdd vdd vprech
0.0 0.000285 9.5e-05 0.00019
1.0 0.000285 9.5e-05 0.00019
2.0 0.000285 9.5e-05 0.00019
3.0 0.000285 9.5e-05 0.00019
4.0 0.000285 9.5e-05 0.00019
5.0 0.000285 9.5e-05 0.00019
6.0 0.000285 9.5e-05 0.00019
7.0 0.000285 9.5e-05 0.00019
8.0 0.000285 9.5e-05 0.00019
9.0 0.000285 9.5e-05 0.00019
10.0 0.000285 9.5e-05 0.00019
11.0 0.000285 9.5e-05 0.00019
12.0 0.000285 9.5e-05 0.00019
13.0 0.000285 9.5e-05 0.00019
14.0 0.000285 9.5e-05 0.00019
15.0 0.000285 9.5e-05 0.00019
16.0 0.000285 9.5e-05 0.00019
17.0 0.000285 9.5e-05 0.00019
18.0 0.000285 9.5e-05 0.00019
19.0 0.000285 9.5e-05 0.00019
20.0 0.000285 9.5e-05 0.00019
21.0 0.000285 9.5e-05 0.00019
22.0 0.000285 9.5e-05 0.00019
23.0 0.000285 9.5e-05 0.00019
24.0 0.000285 9.5e-05 0.00019
25.0 0.000285 9.5e-05 0.00019
26.0 0.000285 9.5e-05 0.00019
27.0 0.000285 9.5e-05 0.00019
28.0 0.000285 9.5e-05 0.00019
29.0 0.000285 9.5e-05 0.00019
30.0 0.000285 9.5e-05 0.00019
31.0 0.000285 9.5e-05 0.00019
32.0 0.000285 9.5e-05 0.00019
33.0 0.000285 9.5e-05 0.00019
34.0 0.000285 9.5e-05 0.00019
35.0 0.000285 9.5e-05 0.00019
36.0 0.000285 9.5e-05 0.00019
37.0 0.000285 9.5e-05 0.00019
38.0 0.000285 9.5e-05 0.00019
39.0 0.000285 9.5e-05 0.00019
40.0 0.000285 9.5e-05 0.00019
41.0 0.000285 9.5e-05 0.00019
42.0 0.000285 9.5e-05 0.00019
43.0 0.000285 9.5e-05 0.00019
44.0 0.000285 9.5e-05 0.00019
45.0 0.000285 9.5e-05 0.00019
46.0 0.000285 9.5e-05 0.00019
47.0 0.000285 9.5e-05 0.00019
48.0 0.000285 9.5e-05 0.00019
49.0 0.000285 9.5e-05 0.00019
50.0 0.000285 9.5e-05 0.00019
51.0 0.01121 9.5e-05 0.00019
52.0 0.01121 9.5e-05 0.00019
53.0 0.01121 9.5e-05 0.00019
54.0 0.01121 9.5e-05 0.00019
55.0 0.01121 9.5e-05 0.00019
56.0 0.01121 9.5e-05 0.00019
57.0 0.01121 9.5e-05 0.00019
58.0 0.01121 9.5e-05 0.00019
59.0 0.01121 9.5e-05 0.00019
60.0 0.01121 9.5e-05 0.00019
61.0 0.01121 9.5e-05 0.00019
62.0 0.01121 9.5e-05 0.00019
63.0 0.01121 9.5e-05 0.00019
64.0 0.01121 9.5e-05 0.00019
65.0 0.01121 9.5e-05 0.00019
66.0 0.01121 9.5e-05 0.00019
67.0 0.01121 9.5e-05 0.00019
68.0 0.01121 9.5e-05 0.00019
69.0 0.01121 9.5e-05 0.00019
70.0 0.01121 9.5e-05 0.00019
